datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius6resize64zona4.csv,50.59,0.51,0.51,3.8,51.5,0.51,0.51,3.88,53.81,0.54,0.54,3.89,55.21,0.55,0.55,3.89,55.32,0.55,0.55,3.88
ekstraksi_ciri/radius4resize32zona4.csv,50.59,0.51,0.51,3.22,48.58,0.49,0.49,3.47,51.61,0.52,0.52,4.09,51.08,0.51,0.51,4.19,51.23,0.51,0.51,4.75
ekstraksi_ciri/radius7resize256zona4.csv,50.06,0.5,0.5,3.04,48.58,0.49,0.49,3.34,51.23,0.51,0.51,3.59,52.79,0.53,0.53,3.52,51.8,0.52,0.52,3.58
ekstraksi_ciri/radius4resize64zona8.csv,49.49,0.49,0.49,13.75,50.81,0.51,0.51,14.04,53.5,0.54,0.54,14.75,54.94,0.55,0.55,14.55,56.8,0.57,0.57,14.88
ekstraksi_ciri/radius3resize128zona8.csv,49.34,0.49,0.49,12.58,52.86,0.53,0.53,12.99,56.08,0.56,0.56,12.8,58.02,0.58,0.58,12.94,58.92,0.59,0.59,13.01
ekstraksi_ciri/radius8resize256zona4.csv,49.26,0.49,0.49,3.08,47.97,0.48,0.48,3.18,49.6,0.5,0.5,3.44,50.55,0.51,0.51,3.38,50.36,0.5,0.5,3.24
ekstraksi_ciri/radius5resize32zona4.csv,49.19,0.49,0.49,2.84,46.72,0.47,0.47,2.9,50.74,0.51,0.51,2.94,50.13,0.5,0.5,2.97,49.98,0.5,0.5,2.99
ekstraksi_ciri/radius8resize32zona2.csv,49.11,0.49,0.49,0.55,48.09,0.48,0.48,0.86,47.82,0.48,0.48,0.6,48.16,0.48,0.48,0.76,47.44,0.47,0.47,0.63
ekstraksi_ciri/radius9resize32zona2.csv,48.81,0.49,0.49,0.64,46.46,0.46,0.46,0.68,46.91,0.47,0.47,0.74,46.3,0.46,0.46,0.75,46.27,0.46,0.46,0.72
ekstraksi_ciri/radius6resize32zona2.csv,48.39,0.48,0.48,0.65,44.83,0.45,0.45,0.7,47.25,0.47,0.47,0.72,47.29,0.47,0.47,0.73,47.1,0.47,0.47,0.75
ekstraksi_ciri/radius7resize128zona4.csv,48.01,0.48,0.48,3.48,50.66,0.51,0.51,3.71,52.82,0.53,0.53,3.77,54.45,0.54,0.54,3.86,53.2,0.53,0.53,3.79
ekstraksi_ciri/radius8resize128zona4.csv,47.93,0.48,0.48,3.32,48.77,0.49,0.49,3.36,49.87,0.5,0.5,3.42,50.44,0.5,0.5,3.48,51.42,0.51,0.51,3.53
ekstraksi_ciri/radius7resize32zona2.csv,47.82,0.48,0.48,0.67,45.21,0.45,0.45,0.73,47.06,0.47,0.47,0.76,46.99,0.47,0.47,0.76,47.52,0.48,0.48,0.8
ekstraksi_ciri/radius7resize32zona4.csv,47.71,0.48,0.48,3,41.84,0.42,0.42,3.15,41.08,0.41,0.41,3.23,39.94,0.4,0.4,3.38,40.2,0.4,0.4,3.41
ekstraksi_ciri/radius6resize128zona4.csv,47.67,0.48,0.48,3.41,47.1,0.47,0.47,3.62,51.04,0.51,0.51,3.65,52.1,0.52,0.52,3.64,53.77,0.54,0.54,3.72
ekstraksi_ciri/radius6resize256zona4.csv,47.4,0.47,0.47,2.67,46.61,0.47,0.47,2.97,49.79,0.5,0.5,3.1,49.56,0.5,0.5,3.24,50.25,0.5,0.5,3.28
ekstraksi_ciri/radius3resize128zona16.csv,47.33,0.47,0.47,50.77,50.13,0.5,0.5,50.72,55.17,0.55,0.55,51.23,56.84,0.57,0.57,51.26,57.79,0.58,0.58,51.21
ekstraksi_ciri/radius2resize128zona8.csv,46.95,0.47,0.47,12.37,48.05,0.48,0.48,12.83,54.41,0.54,0.54,12.99,55.93,0.56,0.56,12.86,55.97,0.56,0.56,12.79
ekstraksi_ciri/radius1resize128zona8.csv,46.42,0.46,0.46,14.93,49.15,0.49,0.49,15.44,54.45,0.54,0.54,15.74,55.32,0.55,0.55,15.71,57.52,0.58,0.58,15.94
ekstraksi_ciri/radius6resize32zona4.csv,45.85,0.46,0.46,2.96,42.4,0.42,0.42,3.05,43.5,0.44,0.44,3.09,43.27,0.43,0.43,3.07,43.01,0.43,0.43,3.15
ekstraksi_ciri/radius5resize64zona4.csv,45.21,0.45,0.45,3.44,44.45,0.44,0.44,3.55,47.4,0.47,0.47,3.51,48.01,0.48,0.48,3.77,47.82,0.48,0.48,3.69
ekstraksi_ciri/radius2resize128zona16.csv,44.98,0.45,0.45,51.04,47.56,0.48,0.48,50.84,53.47,0.53,0.53,51.41,55.97,0.56,0.56,50.7,57.52,0.58,0.58,51.06
